Sample	Description	Platform	Date	Depth (m)	Depth Class	Size Fraction
SRR5246943	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	19-Oct-10	0-1	Surface	Total
SRR5246944	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	19-Oct-10	0-1	Surface	Total
SRR5246945	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	19-Sep-07	0-1	Surface	Total
SRR5246946	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	19-Sep-07	0-1	Surface	Total
SRR5246947	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	19-Jul-11	0-1	Surface	Total
SRR5246948	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	19-Jul-11	0-1	Surface	Total
SRR5246949	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	19-Jun-09	0-1	Surface	Total
SRR5246950	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	19-Jun-09	0-1	Surface	Total
SRR5246951	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	18-Aug-08	0-1	Surface	Total
SRR5246952	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	18-Aug-08	0-1	Surface	Total
SRR5246953	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	17-Oct-12	0-1	Surface	Total
SRR5246954	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	17-Oct-12	0-1	Surface	Total
SRR5246955	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	17-Sep-12	0-1	Surface	Total
SRR5246956	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	17-Sep-08	0-1	Surface	Total
SRR5246957	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	17-Sep-08	0-1	Surface	Total
SRR5246958	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	17-Sep-13	0-1	Surface	Total
SRR5246959	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	17-Sep-13	0-1	Surface	Total
SRR5246960	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Oct-06	0-1	Surface	Total
SRR5246961	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Sep-10	0-1	Surface	Total
SRR5246962	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Sep-10	0-1	Surface	Total
SRR5246963	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Sep-09	0-1	Surface	Total
SRR5246964	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Sep-09	0-1	Surface	Total
SRR5246965	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Aug-13	0-1	Surface	Total
SRR5246966	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Aug-13	0-1	Surface	Total
SRR5246967	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Jun-10	0-1	Surface	Total
SRR5246968	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	16-Jun-10	0-1	Surface	Total
SRR5246969	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	15-Oct-09	0-1	Surface	Total
SRR5246970	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	15-Oct-09	0-1	Surface	Total
SRR5246971	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	15-Aug-06	0-1	Surface	Total
SRR5246972	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	15-Aug-06	0-1	Surface	Total
SRR5246973	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	15-Jul-08	0-1	Surface	Total
SRR5246974	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	15-Jul-08	0-1	Surface	Total
SRR5246975	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	15-May-11	0-1	Surface	Total
SRR5246976	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	14-Aug-12	0-1	Surface	Total
SRR5246977	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	14-Aug-12	0-1	Surface	Total
SRR5246978	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	13-Jun-06	0-1	Surface	Total
SRR5246979	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	13-Jun-06	0-1	Surface	Total
SRR5246980	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Oct-11	0-1	Surface	Total
SRR5246981	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Oct-11	0-1	Surface	Total
SRR5246982	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Sep-06	0-1	Surface	Total
SRR5246983	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Sep-06	0-1	Surface	Total
SRR5246984	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Sep-11	0-1	Surface	Total
SRR5246985	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Sep-11	0-1	Surface	Total
SRR5246986	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Jul-09	0-1	Surface	Total
SRR5246987	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Jul-09	0-1	Surface	Total
SRR5246988	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Jul-06	0-1	Surface	Total
SRR5246989	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Jul-06	0-1	Surface	Total
SRR5246990	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Jul-10	0-1	Surface	Total
SRR5246991	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Jul-10	0-1	Surface	Total
SRR5246992	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	12-Jun-11	0-1	Surface	Total
SRR5246993	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	10-Oct-07	0-1	Surface	Total
SRR5246994	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	10-Oct-06	0-1	Surface	Total
SRR5246995	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	10-Aug-10	0-1	Surface	Total
SRR5246996	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	10-Aug-10	0-1	Surface	Total
SRR5246997	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	9-Aug-11	0-1	Surface	Total
SRR5246998	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	9-Aug-11	0-1	Surface	Total
SRR5246999	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	9-May-07	0-1	Surface	Total
SRR5247000	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	9-May-07	0-1	Surface	Total
SRR5247001	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	8-Aug-09	0-1	Surface	Total
SRR5247002	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	8-Aug-09	0-1	Surface	Total
SRR5247003	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	8-Jul-09	0-1	Surface	Total
SRR5247004	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	8-Jul-09	0-1	Surface	Total
SRR5247005	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	7-Oct-08	0-1	Surface	Total
SRR5247006	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	7-Oct-08	0-1	Surface	Total
SRR5247007	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	7-Jun-12	0-1	Surface	Total
SRR5247008	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	7-Jun-12	0-1	Surface	Total
SRR5247009	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	6-Jul-07	0-1	Surface	Total
SRR5247010	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	6-Jul-07	0-1	Surface	Total
SRR5247011	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Sep-07	0-1	Surface	Total
SRR5247012	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Sep-07	0-1	Surface	Total
SRR5247013	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Sep-06	0-1	Surface	Total
SRR5247014	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Sep-06	0-1	Surface	Total
SRR5247015	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Jul-11	0-1	Surface	Total
SRR5247016	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Jul-11	0-1	Surface	Total
SRR5247017	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Jul-10	0-1	Surface	Total
SRR5247018	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Jun-13	0-1	Surface	Total
SRR5247019	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-Jun-13	0-1	Surface	Total
SRR5247020	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-May-10	0-1	Surface	Total
SRR5247021	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	5-May-10	0-1	Surface	Total
SRR5247022	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	4-Aug-08	0-1	Surface	Total
SRR5247023	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	4-Aug-08	0-1	Surface	Total
SRR5247024	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	3-Sep-08	0-1	Surface	Total
SRR5247025	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	3-Jul-13	0-1	Surface	Total
SRR5247026	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	3-Jul-13	0-1	Surface	Total
SRR5247027	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	2-Sep-09	0-1	Surface	Total
SRR5247028	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	2-Sep-09	0-1	Surface	Total
SRR5247029	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	2-Aug-06	0-1	Surface	Total
SRR5247030	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	2-Aug-06	0-1	Surface	Total
SRR5247031	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	2-Aug-07	0-1	Surface	Total
SRR5247032	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	2-Aug-07	0-1	Surface	Total
SRR5247033	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	2-Jul-08	0-1	Surface	Total
SRR5247034	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	2-Jun-08	0-1	Surface	Total
SRR5247035	"Pelagic Lake Champlain, Quebec, Canada"	Illumina MiSeq	1-Jun-08	0-1	Surface	Total
SRR5247036	"Littoral Lake Champlain, Quebec, Canada"	Illumina MiSeq	1-Jun-08	0-1	Surface	Total
